,Название,Цена,Граммовка,Ссылка,Скидка
0,"Свёкла, 1 кг",18.99 руб,за 1 кг,https://online.globus.ru/products/svekla-1-kg/,Без скидки
1,"Капуста квашеная по-деревенски ФЭГ, 900 г",179.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-feg-po-derevenski-900-g/,Без скидки
2,"Голубика, 125 г",139.99 руб,за 1 шт.,https://online.globus.ru/products/golubika-fasovannaya-125-g/,Без скидки
3,"Капуста квашеная Глобус по-деревенски, 500 г",122.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-globus-po-derevenski-500-g/,Без скидки
4,Дыня Торпеда 2-4 кг,95.99 руб,за 1 кг,https://online.globus.ru/products/dynya-torpeda-2-4-kg/,Без скидки
5,"Томаты сливовидные, 1 кг",119.99 руб,за 1 кг,https://online.globus.ru/products/tomaty-slivovidnye-1-kg/,Без скидки
6,"Дыня Гуляби 2-6,5 кг",76.99 руб,за 1 кг,https://online.globus.ru/products/dynya-gulyabi-2-6-5-kg/,Без скидки
7,"Салат Айсберг, 1 шт.",79.99 руб,за 1 шт.,https://online.globus.ru/products/salat-aysberg/,Без скидки
8,"Томаты розовые, 1 кг",186.99 руб,за 1 кг,https://online.globus.ru/products/tomaty-rozovye-1-kg/,Без скидки
9,Салат листовой Агрохолдинг Московский,59.99 руб,за 1 шт.,https://online.globus.ru/products/salat-listovoy-agrokholding-moskovskiy/,Без скидки
10,"Авокадо Хасс Artfruit, 700 г",449.99 руб,за 1 шт.,https://online.globus.ru/products/avokado-khass-artfruit-700-g/,Без скидки
11,"Перец Блонди, 1 кг",99.99 руб,за 1 кг,https://online.globus.ru/products/perets-blondi-1-kg/,Без скидки
12,"Яблоки Медовый хруст, 1 кг",119.99 руб,за 1 кг,https://online.globus.ru/products/yabloki-medovyy-khrust-1-kg/,Без скидки
13,"Клубника, 250 г",324.99 руб,за 1 шт.,https://online.globus.ru/products/klubnika-250-g/,Без скидки
14,"Авокадо, 1 шт.",79.99 руб,за 1 шт.,https://online.globus.ru/products/avokado-1-sht/,Без скидки
15,"Укроп, 100 г",53.99 руб,за 1 шт.,https://online.globus.ru/products/ukrop-bogoslovo-argo-100-g/,Без скидки
16,"Укроп ЛоКарно, 100 г",62.99 руб,за 1 шт.,https://online.globus.ru/products/ukrop-100-g/,Без скидки
17,"Капуста маринованая с болгарским перцем, 1 кг",259.90 руб,за 1 кг,https://online.globus.ru/products/kapusta-marinovanaya-s-bolgarskim-pertsem-1-kg/,Без скидки
18,"Капуста салатная фермерская, 1 кг",149.99 руб,за 1 кг,https://online.globus.ru/products/kapusta-salatnaya-rannyaya-fermerskaya-1-kg/,Без скидки
19,"Лук репчатый, 1 кг",22.99 руб,за 1 кг,https://online.globus.ru/products/luk-repchatyy-1-kg/,Без скидки
20,"Огурцы солёные ФЭГ, 1000 г",189.99 руб,за 1 шт.,https://online.globus.ru/products/ogurtsy-solenye-feg-1000-g/,Без скидки
21,"Кинза Глобус, 100 г",78.99 руб,за 1 шт.,https://online.globus.ru/products/kinza-globus-100-g/,Без скидки
22,Баклажан сезонный 80-450 г,119.99 руб,за 1 кг,https://online.globus.ru/products/baklazhany-sezonnye-1-kg/,Без скидки
23,"Капуста квашеная Глобус с клюквой, 500 г",99.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-globus-s-klyukvoy-500-g/,Со скидкой
24,"Томаты розовые фермерские, 1 кг",329.99 руб,за 1 кг,https://online.globus.ru/products/tomaty-rozovye-fermerskie-1-kg/,Без скидки
25,"Малина, 125 г",319.99 руб,за 1 шт.,https://online.globus.ru/products/malina-fasovannaya-125-g/,Без скидки
26,"Хренодер ФЭГ Аппетитка, 350 г",92.99 руб,за 1 шт.,https://online.globus.ru/products/khrenoder-appetitka-ferelgam-350-g/,Без скидки
27,"Зелень свежая Ассорти Глобус, 100 г",57.99 руб,за 1 шт.,https://online.globus.ru/products/zelen-assorti-globus-100-g/,Без скидки
28,"Томаты черри Novikov, 250 г",128.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-cherri-novikov-250-g/,Без скидки
29,"Укроп свежий Глобус, 50 г",37.99 руб,за 1 шт.,https://online.globus.ru/products/ukrop-svezhiy-globus-50-g/,Без скидки
30,"Капуста маринованная ФЭГ кисло-сладкая, 1000 г",212.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-marinovannaya-feg-kislo-sladkaya-1000-g/,Без скидки
31,Салат романо,139.99 руб,за 1 шт.,https://online.globus.ru/products/salat-romano/,Без скидки
32,Капуста брокколи 300-500 г,314.99 руб,за 1 кг,https://online.globus.ru/products/kapusta-brokkoli-1-kg/,Без скидки
33,"Грибы шампиньоны свежие, 1 кг",199.99 руб,за 1 кг,https://online.globus.ru/products/griby-shampinony-svezhie-1-kg/,Без скидки
34,"Капуста квашеная Глобус с морковью, 500 г",122.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-globus-s-morkovyu-500-g/,Без скидки
35,"Шпинат мини Фруктовая почта, 125 г",119.99 руб,за 1 шт.,https://online.globus.ru/products/shpinat-mini-fruktovaya-pochta-125-g/,Без скидки
36,"Виноград белый кишмиш, 1 кг",124.99 руб,за 1 кг,https://online.globus.ru/products/vinograd-kishmish-1-kg/,Без скидки
37,"Капуста квашеная Белоручка Фитнес без содержания сахара, 1000 г",160.99 руб,за 1 шт.,https://online.globus.ru/products/kapusta-kvashenaya-beloruchka-fitnes-bez-soderzhaniya-sakhara-1000-g/,Без скидки
38,"Томаты черри ЭкоКультура на ветке, 250 г",179.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-cherri-na-vetke-ekokultura-250-g/,Без скидки
39,"Перец сладкий Рамиро, 1 кг",299.99 руб,за 1 кг,https://online.globus.ru/products/perets-ramiro-1-kg/,Без скидки
40,"Томаты розовые Премиум уп, 600-800 г",279.99 руб,за 1 кг,https://online.globus.ru/products/tomaty-premium-rozovye-1-upakovka-650-800-g/,Без скидки
41,"Голубика, 125 г",167.99 руб,за 1 шт.,https://online.globus.ru/products/golubika-artfruit-125-g/,Без скидки
42,"Киви, 1 кг",89.99 руб,за 1 кг,https://online.globus.ru/products/kivi-1-kg/,Без скидки
43,"Томаты черри Рост Flamenco, 250 г",179.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-cherri-rost-flamenco-250-g/,Без скидки
44,"Шампиньоны Королевские ЦарьГриб, 500 г",179.99 руб,за 1 шт.,https://online.globus.ru/products/shampinony-korolevskie-500-g/,Без скидки
45,"Хренодер ФЭГ ядрёный, 240 г",62.99 руб,за 1 шт.,https://online.globus.ru/products/khrenoder-yadrenyy-feg-240-g/,Без скидки
46,"Картофель белый фермерский, 1 кг",69.99 руб,за 1 кг,https://online.globus.ru/products/kartofel-molodoy-fermerskiy-1-kg/,Без скидки
47,"Морковь фермерская, 1 кг",59.99 руб,за 1 кг,https://online.globus.ru/products/morkov-molodaya-fermerskaya-1-kg/,Без скидки
,Название,Цена,Граммовка,Ссылка,Скидка
0,Баклажаны тепличные 200-550 г,349.99 руб,за 1 кг,https://online.globus.ru/products/baklazhany-1-kg/,Без скидки
1,Огурец гладкий 150-400 г,64.99 руб,за 1 кг,https://online.globus.ru/products/ogurtsy-gladkie-1-kg/,Без скидки
2,"Тыква, в ассортименте по сортам 1-6 кг",44.99 руб,за 1 кг,https://online.globus.ru/products/tykva-1-3-5-kg/,Без скидки
3,"Томаты черри сливовидные Московский в шейкере, 250 г",153.99 руб,за 1 шт.,https://online.globus.ru/products/tomaty-cherri-slivovidnye-moskovskiy-sheyker-250-g/,Без скидки
4,"Кинза Зеленый сад, 100 г",86.99 руб,за 1 шт.,https://online.globus.ru/products/kinza-zelenyy-sad-100-g/,Без скидки
5,"Шампиньоны свежие, 400 г",114.99 руб,за 1 шт.,https://online.globus.ru/products/shampinony-svezhie-400-g/,Без скидки
6,Базилик фиолетовый Агрохолдинг Московский в горшочке,89.99 руб,за 1 шт.,https://online.globus.ru/products/bazilik-fioletovyy-agrokholding-moskovskiy-v-gorshochke/,Без скидки
7,"Хренодер Аппетитка Глобус, 200 г",55.99 руб,за 1 шт.,https://online.globus.ru/products/khrenoder-appetitka-globus-200-g/,Без скидки
8,"Салат Фриллис Выборжец, 100 г",107.99 руб,за 1 шт.,https://online.globus.ru/products/salat-frillis-vyborzhets-100-g/,Без скидки
9,"Лук зелёный ЛоКарно, 100 г",75.99 руб,за 1 шт.,https://online.globus.ru/products/luk-zelenyy-lokarno-100-g/,Без скидки
10,"Помело уп, 0,85-1,7 кг",163.99 руб,за 1 кг,https://online.globus.ru/products/pomelo-1-upakovka-0-85-1-7-kg/,Без скидки
11,"Виноград Дамские пальчики темный, 1 кг",307.99 руб,за 1 кг,https://online.globus.ru/products/vinograd-damskie-palchiki-temnyy-1-kg/,Без скидки
